longitude,latitude,a,b,c,d
76.625,10.125,178.58,179.67,184.27,187.23
76.875,10.125,181.65,181.35,185.03,187.17
77.125,10.125,181.82,182.45,184.85,185.8
77.375,10.125,164.56,164.95,165.84,166.63
77.625,10.125,162.19,165.51,166.13,166.69
77.875,10.125,190.98,195.07,195.98,196.53
78.125,10.125,110.77,114.99,114.84,115.3
78.375,10.125,120.84,124.12,124.15,124.37
78.625,10.125,138.88,139.2,137.79,136.29
78.875,10.125,137.21,137.83,137.15,136.31
76.375,10.375,166.46,169.44,175.33,178.82
76.625,10.375,135.87,142.57,151.74,160.56
76.875,10.375,169.84,173.13,174.75,174.43
77.125,10.375,139.29,142.19,145.88,149.27
77.375,10.375,103.54,114.09,121.82,127.26
77.625,10.375,101.62,109.46,113.93,118.07
77.875,10.375,105.13,111.6,113.81,116.5
78.125,10.375,100.95,105.17,106.32,106.98
78.375,10.375,124.13,126.1,125.62,124.91
78.625,10.375,104.4,106.88,107.07,107.86
78.875,10.375,140.36,139.87,138.4,137.09
79.125,10.375,81.215,81.791,81.554,81.594
76.125,10.625,118.33,120.91,126.87,134.81
76.375,10.625,128.06,130.86,135.4,140.52
76.625,10.625,133.02,136.73,140.52,144.01
76.875,10.625,135.54,139.29,142.73,145.23
77.125,10.625,117.52,130.42,140.31,145.43
77.375,10.625,143.42,144.19,144.32,144.9
77.625,10.625,115.04,122.57,127.19,131.09
77.875,10.625,97.139,103.76,106.2,109.92
78.125,10.625,110.1,113.59,114.41,114.75
78.375,10.625,146.92,148.86,148.91,148.67
78.625,10.625,91.778,94.008,94.821,95.502
78.875,10.625,78.255,78.52,77.764,77.557
79.125,10.625,86.345,86.687,86.467,86.745
79.375,10.625,115.68,116.12,115.95,116.22
79.625,10.625,124.81,125.59,125.59,125.93
76.125,10.875,98.759,95.939,97.804,101.48
76.375,10.875,122.12,123.63,127.05,131.33
76.625,10.875,118.91,122.04,125.16,128.53
76.875,10.875,133.36,136.84,138.6,139.88
77.125,10.875,152.77,160.48,164.63,167.52
77.375,10.875,113.88,120.73,124.06,127.25
77.625,10.875,99.116,106.24,109.4,113.31
77.875,10.875,134.94,135.97,133.63,133.83
78.125,10.875,100.93,105.27,105.47,107.97
78.375,10.875,138.11,133.47,130.33,128.58
78.625,10.875,71.852,73.411,73.188,74.594
78.875,10.875,133.76,134.01,133.5,134.16
79.125,10.875,98.89,98.856,98.406,98.678
79.375,10.875,91.953,92.539,92.42,92.647
79.625,10.875,104.15,104.35,104.13,104.46
76.125,11.125,135.21,132.92,134.45,137.8
76.375,11.125,133.15,131.04,131.51,133.86
76.625,11.125,128.78,127.93,127.55,128.85
76.875,11.125,124.48,126.64,127.56,128.76
77.125,11.125,113.35,119.71,122.83,125.69
77.375,11.125,115.63,121.91,124.23,126.97
77.625,11.125,116.68,122.18,123.42,125.96
77.875,11.125,116.93,120.76,120.1,121.82
78.125,11.125,129.19,129.81,127.16,127.71
78.375,11.125,103.49,105.79,106.44,107.37
78.625,11.125,145.5,146.67,146.27,147.55
78.875,11.125,102.21,102.9,102.72,103.76
79.125,11.125,172.89,172.78,172.37,172.75
79.375,11.125,113.45,114.16,114.32,115
79.625,11.125,117.47,117.18,116.23,115.95
75.875,11.375,115.84,118.56,124.56,132.08
76.125,11.375,147.25,144.73,144.42,145.79
76.375,11.375,143.38,141.09,140.22,141.15
76.625,11.375,129.1,127.54,126.41,127.04
76.875,11.375,140.92,137.18,134.43,133.62
77.125,11.375,144.95,145.55,144.06,144.41
77.375,11.375,122.09,127.86,129.38,132.56
77.625,11.375,129.82,134.35,135.05,137.65
77.875,11.375,127.18,130.06,129.05,130.81
78.125,11.375,138.27,135.23,132.35,131.59
78.375,11.375,110.11,110.76,109.22,109.51
78.625,11.375,123.24,122.04,119.56,118.8
78.875,11.375,129.57,128.19,126.25,125.72
79.125,11.375,119.73,119.69,119.08,119.63
79.375,11.375,286.92,275.62,269.28,265.01
79.625,11.375,114.38,113.52,112.17,111.69
75.875,11.625,172.4,169.94,169.86,172.47
76.125,11.625,131.97,131.99,132.95,136.82
76.375,11.625,136.8,134.24,133.32,135.74
76.625,11.625,148.57,144.63,142.78,144.6
76.875,11.625,154.81,150.84,148.31,149.41
77.125,11.625,115.7,121.13,121.71,125.14
77.375,11.625,118.27,121.29,120.1,122.62
77.625,11.625,129.58,129.51,127.18,128.63
77.875,11.625,137.89,139.59,137.01,138.01
78.125,11.625,140.89,140.18,136.62,136.68
78.375,11.625,152.69,152.6,150.41,149.64
78.625,11.625,92.619,94.048,94.206,95.822
78.875,11.625,116.56,116.1,114.72,115.2
79.125,11.625,118.61,118.59,117.87,117.66
79.375,11.625,140.38,140.15,139.42,138.99
75.875,11.875,135.05,132.65,132.15,135.4
76.125,11.875,130.37,130.35,131.43,135.87
76.375,11.875,133.42,134.3,134.7,138.68
76.625,11.875,142.23,145.18,145.84,148.95
76.875,11.875,139.56,141.45,140.71,143.32
77.125,11.875,134.61,134.17,132.25,135.12
77.375,11.875,97,105.21,107.44,113.98
77.625,11.875,128.32,128.9,125.78,127.77
77.875,11.875,129.91,130.77,128.14,129.52
78.125,11.875,113.31,116.32,114.91,117.1
78.375,11.875,99.189,100.48,99.87,101.52
78.625,11.875,103.21,103.44,101.76,102.03
78.875,11.875,134.71,133.79,131.85,132.39
79.125,11.875,153.52,153.11,151.75,152.01
79.375,11.875,179.79,177.2,174.18,172.4
79.625,11.875,129.12,129.1,128.43,128.67
75.375,12.125,84.742,83.283,85.126,89.916
75.625,12.125,114.03,114.85,118.1,124.09
75.875,12.125,123.59,123.56,124.45,128.59
76.125,12.125,143.05,141.15,141.98,145.4
76.375,12.125,143.23,143.27,144.61,146.99
76.625,12.125,150.7,147.9,148.05,149.93
76.875,12.125,143.89,140.51,140.19,142.21
77.125,12.125,113.02,122.04,126.03,132.96
77.375,12.125,140.92,139.51,137.03,139.4
77.625,12.125,134,132.93,128.97,130.97
77.875,12.125,114.16,118.94,118.56,122.07
78.125,12.125,112.79,117.1,117.9,121.24
78.375,12.125,133.22,134.9,133.21,133.44
78.625,12.125,158.61,156.06,151.79,150.62
78.875,12.125,116.1,117.25,116.97,119.02
79.125,12.125,167.29,166.84,165.09,163.34
79.375,12.125,165.73,165.08,163.48,162.95
79.625,12.125,145.5,145.43,144.64,144.5
75.125,12.375,108.61,106.96,111.1,116.9
75.375,12.375,127.3,124.79,126.11,130.71
75.625,12.375,126.3,125.07,127.45,131.82
75.875,12.375,108.14,110.43,114.54,121.37
76.125,12.375,146.26,146.96,149.93,151.54
76.375,12.375,148.79,149.66,151.85,153.71
76.625,12.375,149.59,149.23,150.27,152.15
76.875,12.375,131.52,137.1,141.07,145.19
77.125,12.375,128,134.52,137.58,142.64
77.375,12.375,134.33,134.32,132.67,135.3
77.625,12.375,132.03,133.56,131.15,133.53
77.875,12.375,110.21,116.81,115.86,119.32
78.125,12.375,91.894,96.86,98.707,102.05
78.375,12.375,133.44,135.8,135.53,136.75
78.625,12.375,94.535,98.41,98.794,100.37
78.875,12.375,118.15,120.48,120.02,120.3
79.125,12.375,166.75,166.41,164.7,164.42
79.375,12.375,165.59,165.14,163.61,162.88
79.625,12.375,152.87,152.55,151.4,150.57
75.125,12.625,147.25,143.48,144.55,147.91
75.375,12.625,105.81,106.39,110.94,117.83
75.625,12.625,126.51,125.2,128.97,131.49
75.875,12.625,131.82,131.99,136,138.46
76.125,12.625,148.99,150.81,155.13,155.9
76.375,12.625,152.99,152.72,155.33,156.79
76.625,12.625,161.13,161.39,162.6,163.96
76.875,12.625,149.47,151.06,151.54,153.83
77.125,12.625,132.56,137.97,139.69,143.24
77.375,12.625,152.58,148.72,146.74,148.16
77.625,12.625,149.12,145.81,143.87,145.21
77.875,12.625,196.98,197.25,194.98,194.63
78.125,12.625,141.02,144.55,144.27,145.22
78.375,12.625,117.08,120.66,121.49,123.48
78.625,12.625,103.31,107.69,107.9,109.28
78.875,12.625,88.974,90.644,90.448,92.136
79.125,12.625,111.29,113.58,112.83,112.63
79.375,12.625,140.47,141.95,141.33,140.97
79.625,12.625,121.04,121.51,120.69,120.22
79.875,12.625,182.54,179.12,175.98,173.15
75.125,12.875,95.5,96.343,101.36,107.45
75.375,12.875,111.02,111.18,115.01,120.79
75.625,12.875,105.7,108.29,116.16,123.13
75.875,12.875,118.41,121.61,129.75,134.36
76.125,12.875,142.33,148.31,156.04,157.16
76.375,12.875,147.7,152.93,158.71,160.75
76.625,12.875,149.82,150.87,152.61,153.72
76.875,12.875,153.21,151.48,151.84,153.29
77.125,12.875,135.42,137.74,139.23,142.01
77.375,12.875,137.15,141.04,142.27,144.61
77.625,12.875,144.29,149.67,151.07,153.95
